start_node,end_species,loss_summary,first_loss_after_node,gd_count,tree_gd_IDs,gene1_IDs,gene2_IDs,path_string,end_copy_number,S28,S27,S26,S25,S24,S23,S22,S21,S20,S19,S18,S17,S16,S15,S14,S13,S12,S11,S10,S9,S8,S7,S6,S5,S4,S3,S2,S1,S0,DUN,CHL,MAR,CER,GIN,AMB,NYM,BRA,ORY,ASP,CIN,LIR,AQU,COF,SOL,MIM,HEL,ACT,VIT,POP,ARA,PRU,CUC,PHA,GLY,MED,ARH,ARI,ARD,CEC
S25,ACT,Lost after S7,S7,4,OG0000657_248-55;OG0000658_248-66;OG0001280_161-119;OG0001297_159-145,ACT_0037589;ACT_0026013,ACT_0028526;ACT_0030634,S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(1),1,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,ACT,No duplicate lost,NA,10,OG0000631_253-19;OG0000633_253-24;OG0000657_248-54;OG0000657_248-56;OG0001270_161-104;OG0001277_161-115;OG0001319_157-175;OG0002462_100-186;OG0002506_99-204;OG0002508_99-206,ACT_0023292;ACT_0013958;ACT_0003600;ACT_0009413;ACT_0039199;ACT_0034816;ACT_0033173;ACT_0000627;ACT_0010159;ACT_0017190,ACT_0010951;ACT_0014331;ACT_0028526;ACT_0036133;ACT_0021410;ACT_0000929;ACT_0028463;ACT_0009322;ACT_0009958,S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),2,NA,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,ACT,Lost after S21,S21,1,OG0000665_247-68,ACT_0026969,NA,S24(2)->S23(2)->S22(2)->S21(2)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,NA,2,2,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,ACT,Lost after S20,S20,1,OG0001277_161-114,NA,ACT_0021410,S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,ACT,Lost after S7,S7,2,OG0001307_159-154;OG0001317_157-167,ACT_0033263,ACT_0030304,S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(1),1,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,ACT,No duplicate lost,NA,7,OG0000631_253-18;OG0000637_252-30;OG0000667_246-83;OG0001294_159-129;OG0001299_159-148;OG0001309_158-158;OG0002511_99-208,ACT_0014040;ACT_0012224;ACT_0017052;ACT_0026817;ACT_0014159;ACT_0013548;ACT_0039282,ACT_0010951;ACT_0027552;ACT_0037670;ACT_0017509;ACT_0009917;ACT_0014612;ACT_0029226,S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->S19(2)->S7(2)->ACT(2),2,NA,NA,NA,NA,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S22,ACT,Lost after S22,S22,1,OG0001299_159-147,ACT_0014159,NA,S22(2)->S21(1)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S22,ACT,Lost after S21,S21,1,OG0000637_252-25,ACT_0023270,NA,S22(2)->S21(2)->S20(1)->S19(1)->S7(1)->ACT(1),1,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20,ACT,Lost after S7,S7,2,OG0000665_247-77;OG0001307_159-153,NA,ACT_0017640;ACT_0030304,S20(2)->S19(2)->S7(2)->ACT(1),1,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S20,ACT,No duplicate lost,NA,1,OG0000658_248-62,ACT_0033809,ACT_0005135,S20(2)->S19(2)->S7(2)->ACT(2),2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S19,ACT,Lost after S19,S19,1,OG0001278_161-117,NA,ACT_0013675,S19(2)->S7(1)->ACT(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S19,ACT,Lost after S7,S7,9,OG0000633_253-23;OG0000637_252-29;OG0000648_249-34;OG0000651_249-37;OG0000658_248-63;OG0001259_162-89;OG0001277_161-113;OG0001307_159-152;OG0001311_158-164,ACT_0017092;ACT_0016263;ACT_0037589,ACT_0014331;ACT_0027552;ACT_0009627;ACT_0021410;ACT_0030304;ACT_0009380,S19(2)->S7(2)->ACT(1),1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S19,ACT,No duplicate lost,NA,9,OG0000633_253-22;OG0000648_249-32;OG0000652_249-46;OG0000657_248-52;OG0000667_246-79;OG0001272_161-109;OG0001294_159-127;OG0001318_157-171;OG0004494_64-236,ACT_0027371;ACT_0023297;ACT_0025385;ACT_0028526;ACT_0038291;ACT_0021747;ACT_0001446;ACT_0019297;ACT_0015718,ACT_0014331;ACT_0011809;ACT_0036067;ACT_0036771;ACT_0019842;ACT_0000118;ACT_0026542;ACT_0017979;ACT_0001737,S19(2)->S7(2)->ACT(2),2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,AMB,Lost after S28,S28,2,OG0000665_247-78;OG0004491_64-234,NA,AMB_0012354;AMB_0016626,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->AMB(1),1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,AMB,Lost after S27,S27,1,OG0001267_162-102,NA,AMB_0016333,S28(2)->S27(2)->S26(1)->S25(1)->S24(1)->AMB(1),1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AMB,Lost after S26,S26,1,OG0000652_249-50,NA,AMB_0013481,S27(2)->S26(2)->S25(1)->S24(1)->AMB(1),1,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AMB,Lost after S25,S25,2,OG0001259_162-90;OG0002498_99-203,NA,AMB_0008470;AMB_0016014,S27(2)->S26(2)->S25(2)->S24(1)->AMB(1),1,NA,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AMB,No duplicate lost,NA,8,OG0000652_249-49;OG0000667_246-84;OG0001267_162-101;OG0001289_160-124;OG0001289_160-125;OG0002437_101-178;OG0002522_99-214;OG0002523_99-216,AMB_0013481;AMB_0014418;AMB_0007945;AMB_0010559;AMB_0013535;AMB_0001576;AMB_0021648;AMB_0009172,AMB_0014536;AMB_0011793;AMB_0016333;AMB_0016179;AMB_0007633;AMB_0005807;AMB_0016251,S27(2)->S26(2)->S25(2)->S24(2)->AMB(2),2,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S26,AMB,Lost after S24,S24,1,OG0001266_162-96,NA,AMB_0007806,S26(2)->S25(2)->S24(2)->AMB(1),1,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S26,AMB,No duplicate lost,NA,2,OG0001266_162-97;OG0002471_100-196,AMB_0016466;AMB_0015185,AMB_0007806;AMB_0005240,S26(2)->S25(2)->S24(2)->AMB(2),2,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,AMB,Lost after S24,S24,2,OG0000657_248-55;OG0001318_157-172,NA,AMB_0017444;AMB_0017530,S25(2)->S24(2)->AMB(1),1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,AMB,No duplicate lost,NA,16,OG0000631_253-19;OG0000633_253-24;OG0000657_248-54;OG0000657_248-56;OG0000658_248-66;OG0001270_161-104;OG0001277_161-115;OG0001280_161-119;OG0001297_159-145;OG0001319_157-175;OG0002440_101-179;OG0002462_100-186;OG0002506_99-204;OG0002508_99-206;OG0002522_99-213;OG0004494_64-237,AMB_0011145;AMB_0017113;AMB_0017444;AMB_0016667;AMB_0016435;AMB_0014235;AMB_0001557;AMB_0002786;AMB_0019686;AMB_0008875;AMB_0002512;AMB_0005439;AMB_0008940;AMB_0018045;AMB_0005161;AMB_0020760,AMB_0000091;AMB_0016294;AMB_0003052;AMB_0017444;AMB_0014969;AMB_0014091;AMB_0013092;AMB_0002246;AMB_0018636;AMB_0012442;AMB_0001723;AMB_0013246;AMB_0018330;AMB_0007035;AMB_0021648;AMB_0016122,S25(2)->S24(2)->AMB(2),2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,AMB,Lost after S24,S24,3,OG0000637_252-30;OG0000667_246-83;OG0001307_159-154,AMB_0014787,AMB_0010342;AMB_0013654,S24(2)->AMB(1),1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S24,AMB,No duplicate lost,NA,8,OG0000631_253-18;OG0000665_247-68;OG0001277_161-114;OG0001294_159-129;OG0001299_159-148;OG0001309_158-158;OG0001317_157-167;OG0002511_99-208,AMB_0007482;AMB_0020628;AMB_0013092;AMB_0020051;AMB_0008088;AMB_0016726;AMB_0018447;AMB_0014262,AMB_0000091;AMB_0012354;AMB_0010237;AMB_0008798;AMB_0017089;AMB_0008439;AMB_0012928;AMB_0021233,S24(2)->AMB(2),2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,AQU,Lost after S28,S28,2,OG0000665_247-78;OG0004491_64-234,NA,AQU_0014718;AQU_0017195,S28(2)->S27(1)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->AQU(1),1,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S28,AQU,Lost after S27,S27,1,OG0001267_162-102,NA,AQU_0018963,S28(2)->S27(2)->S26(1)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->AQU(1),1,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AQU,Lost after S26,S26,1,OG0000652_249-50,NA,AQU_0023137,S27(2)->S26(2)->S25(1)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->AQU(1),1,NA,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AQU,Lost after S25,S25,2,OG0001259_162-90;OG0002498_99-203,NA,AQU_0010003;AQU_0019931,S27(2)->S26(2)->S25(2)->S24(1)->S23(1)->S22(1)->S21(1)->S20(1)->AQU(1),1,NA,2,2,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AQU,Lost after S24,S24,1,OG0001267_162-101,NA,AQU_0003633,S27(2)->S26(2)->S25(2)->S24(2)->S23(1)->S22(1)->S21(1)->S20(1)->AQU(1),1,NA,2,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S27,AQU,No duplicate lost,NA,7,OG0000652_249-49;OG0000667_246-84;OG0001289_160-124;OG0001289_160-125;OG0002437_101-178;OG0002522_99-214;OG0002523_99-216,AQU_0023137;AQU_0023711;AQU_0040545;AQU_0000820;AQU_0022778;AQU_0019011;AQU_0020199,AQU_0023818;AQU_0022537;AQU_0015780;AQU_0013626;AQU_0025656;AQU_0041710,S27(2)->S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->AQU(2),2,NA,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S26,AQU,Lost after S20,S20,1,OG0001266_162-96,NA,AQU_0004552,S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->AQU(1),1,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S26,AQU,No duplicate lost,NA,2,OG0001266_162-97;OG0002471_100-196,AQU_0018340;AQU_0040823,AQU_0004552;AQU_0006913,S26(2)->S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(2)->AQU(2),2,NA,NA,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,AQU,Lost after S23,S23,3,OG0002440_101-179;OG0002522_99-213;OG0004494_64-237,NA,AQU_0014766;AQU_0019011;AQU_0001468,S25(2)->S24(2)->S23(2)->S22(1)->S21(1)->S20(1)->AQU(1),1,NA,NA,NA,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S25,AQU,Lost after S21,S21,1,OG0001318_157-172,NA,AQU_0030183,S25(2)->S24(2)->S23(2)->S22(2)->S21(2)->S20(1)->AQU(1),1,NA,NA,NA,2,2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
